date,time,vcc,vbat
2016/10/08,08:21:45,3.34,3.50
2016/10/08,08:22:44,3.37,3.50
2016/10/08,08:23:43,3.38,3.51
2016/10/08,08:24:43,3.37,3.50
2016/10/08,08:25:43,3.39,3.50
2016/10/08,08:26:43,3.37,3.50
2016/10/08,08:27:42,3.39,3.50
2016/10/08,08:28:42,3.34,3.50
2016/10/08,08:29:41,3.38,3.50
2016/10/08,08:30:41,3.38,3.50
2016/10/08,08:31:40,3.38,3.50
2016/10/08,08:32:40,3.38,3.50
2016/10/08,08:33:40,3.35,3.51
2016/10/08,08:34:40,3.37,3.50
2016/10/08,08:35:39,3.35,3.50
2016/10/08,08:36:39,3.38,3.51
2016/10/08,08:37:38,3.37,3.50
2016/10/08,08:38:37,3.36,3.50
2016/10/08,08:39:37,3.38,3.50
2016/10/08,08:40:37,3.39,3.49
2016/10/08,08:41:36,3.35,3.50
2016/10/08,08:42:36,3.40,3.50
2016/10/08,08:43:36,3.38,3.50
2016/10/08,08:44:35,3.39,3.49
2016/10/08,08:45:35,3.35,3.50
2016/10/08,08:46:34,3.38,3.49
2016/10/08,08:47:34,3.38,3.50
2016/10/08,08:48:33,3.34,3.50
2016/10/08,08:49:33,3.39,3.49
2016/10/08,08:50:32,3.38,3.50
2016/10/08,08:51:33,3.34,3.49
2016/10/08,08:52:32,3.38,3.49
2016/10/08,08:53:33,3.36,3.49
2016/10/08,08:54:31,3.35,3.49
2016/10/08,08:55:30,3.39,3.50
2016/10/08,08:56:30,3.36,3.49
2016/10/08,08:57:29,3.38,3.48
2016/10/08,08:58:29,3.35,3.49
2016/10/08,08:59:29,3.34,3.48
2016/10/08,09:00:29,3.37,3.49
2016/10/08,09:01:28,3.35,3.49
2016/10/08,09:02:28,3.39,3.49
2016/10/08,09:03:27,3.39,3.49
2016/10/08,09:04:27,3.38,3.48
2016/10/08,09:05:27,3.35,3.49
2016/10/08,09:06:26,3.37,3.48
2016/10/08,09:07:26,3.38,3.49
2016/10/08,09:08:25,3.35,3.49
2016/10/08,09:09:24,3.38,3.49
2016/10/08,09:10:24,3.38,3.49
2016/10/08,09:11:24,3.38,3.49
2016/10/08,09:12:23,3.37,3.48
2016/10/08,09:13:23,3.38,3.48
2016/10/08,09:14:22,3.37,3.48
